zone,scenario,label,color,linestyle,linewidth,order,marker,path
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP_500GW_ICEDmid,Linearly-scaled demand + H2,#92918b,solid,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/demand
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,Bottom-up demand + H2 (REF),#ca8250,solid,4.5,9,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/cost
all,VREmid_STmid_CONVmid_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,REF without H2,#136564,dashed,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/alternative
all,VREmid_STmid_CONVmid_N_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,REF without H2 + nuclear,#2cb7b5,dotted,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/alternative
all,VREmid_STmid_CONVmid_PSH_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,REF without H2 + PSH,#756a01,dashdot,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/alternative
all,VREmid_STmid_CONVmid_H2PSHN_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,REF H2 + nuclear + PSH,#d8a581,dashed,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/alternative
