zone,scenario,label,color,linestyle,linewidth,order,marker,path
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_ICEDmid,No Clean Target or Carbon Target,#92918b,solid,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/iced
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_500GW_ICEDmid,No Carbon Target,#136564,dashed,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/iced
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_80CAP_500GW_ICEDmid,80% Carbon Target,#2cb7b5,dotted,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/iced
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP_500GW_ICEDmid,90% Carbon Target ,#ca8250,dashdot,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/demand
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_100CAP_500GW_ICEDmid,100% Carbon Target,#756a01,solid,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/iced
