zone,scenario,label,color,linestyle,linewidth,order,marker,path
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_PIERmid,No Clean Target or Carbon Target,#92918b,solid,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/pier
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_500GW_PIERmid,No Carbon Target,#136564,dashed,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/pier
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_80CAP_500GW_PIERmid,80% Carbon Target,#2cb7b5,dotted,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/pier
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,90% Carbon Target - REF,#ca8250,solid,4,9,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/cost
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_100CAP_500GW_PIERmid,100% Carbon Target,#756a01,dashdot,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/pier
