zone,scenario,label,color,linestyle,linewidth,order,marker,path
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP2050_500GW_PIERmid,VRE & ESS (mid) Coal (low) & 2050  90% Carbon Target,#2cb7b5,dashdot,1.5,10,None,/Users/Guille/Desktop/india_power/scenarios/additional
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_90CAP_500GW_PIERmid,VRE & ESS (mid) Coal (low) & No RPO & 90% Carbon Target,#d8a581,dashed,1.5,10,None,/Users/Guille/Desktop/india_power/scenarios/additional
all,VREmid_STmid_CONVmid_H2_RES_50RPS_90CAP_500GW_PIERmid,VRE & ESS (mid) Coal (low) & No PRM & 90% Carbon Target ,#92918b,dotted,1.5,10,None,/Users/Guille/Desktop/india_power/scenarios/additional
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,VRE & ESS (mid) Coal (low) & 90% Carbon Target - REF,#ca8250,solid,1.5,10,None,/Users/Guille/Desktop/india_power/scenarios/cost
all,VREmid_STmid_CONVmid_H2_NoNewGas_RES_8PRM_CC_50RPS_90CAP_500GW_ICEDmid,No New Gas & Linearly-scaled Demand (mid),#92918b,dotted,3,9,None,/Users/Guille/Desktop/india_power/scenarios/additional
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP_500GW_ICEDmid,Linearly-scaled Demand (mid),#136564,solid,1.5,10,None,/Users/Guille/Desktop/india_power/scenarios/demand
