zone,scenario,label,color,linestyle,marker,path
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_PIERmid,"No RPO, Clean-Target & C-CAP",#92918b,solid,None,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_PIERmid,No Clean-Target & C-CAP,#136564,dashed,None,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_500GW_PIERmid,No C-CAP,#2cb7b5,dotted,None,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_80CAP_500GW_PIERmid,80% C-CAP,#756a01,dashdot,None,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_90CAP_500GW_PIERmid,90% C-CAP,#ca8250,solid,None,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_100CAP_500GW_PIERmid,100% C-CAP,#d8a581,dashed,None,/Users/Guille/Desktop/india_power/scenarios/policy
