zone,scenario,label,color,linestyle,marker,tag,path
all,VRElow_STlow_CONVmid_H2_RES_10PRM_CC_50RPS_90CAP_500GW_PIERmid,VRE & ESS (low) Coal (low),#92918b,solid,None,C1,/Users/Guille/Desktop/india_power/scenarios/cost
all,VRElow_STlow_CONVhigh_H2_RES_10PRM_CC_50RPS_90CAP_500GW_PIERmid,VRE & ESS (low) Coal (high),#136564,dashed,None,C2,/Users/Guille/Desktop/india_power/scenarios/cost
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_90CAP_500GW_PIERmid,VRE & ESS (mid) Coal (low),#2cb7b5,dotted,None,C3,/Users/Guille/Desktop/india_power/scenarios/cost
all,VREmid_STmid_CONVhigh_H2_RES_10PRM_CC_50RPS_90CAP_500GW_PIERmid,VRE & ESS (mid) Coal (high),#756a01,dashdot,None,C4,/Users/Guille/Desktop/india_power/scenarios/cost
all,VREhigh_SThigh_CONVmid_H2_RES_10PRM_CC_50RPS_90CAP_500GW_PIERmid,VRE & ESS (high) Coal (low),#ca8250,solid,None,C5,/Users/Guille/Desktop/india_power/scenarios/cost
all,VREhigh_SThigh_CONVhigh_H2_RES_10PRM_CC_50RPS_90CAP_500GW_PIERmid,VRE & ESS (high) Coal (high),#d8a581,dashed,None,C6,/Users/Guille/Desktop/india_power/scenarios/cost
