zone,scenario,label,color,linestyle,linewidth,order,marker,path
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAPLin_500GW_PIERmid,VRE & ESS (mid) Coal (low) & 90% Linear Carbon Target,#2cb7b5,dashdot,1.5,10,None,/Users/Guille/Desktop/india_power/scenarios/additional
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,VRE & ESS (mid) Coal (low) & 90% Carbon Target - REF,#ca8250,solid,3,9,None,/Users/Guille/Desktop/india_power/scenarios/cost
