zone,scenario,label,color,linestyle,linewidth,order,marker,path
all,VREmid_STmid_CONVmid_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,No H2 or high PSH or nuclear,#92918b,solid,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/alternative
all,VREmid_STmid_CONVmid_H2_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,Cost-optimal H2 - REF,#ca8250,solid,4.5,9,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/cost
all,VREmid_STmid_CONVmid_PSH_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,High PSH,#136564,dashed,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/alternative
all,VREmid_STmid_CONVmid_N_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,High nuclear,#2cb7b5,dotted,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/alternative
all,VREmid_STmid_CONVmid_H2PSHN_RES_8PRM_CC_50RPS_90CAP_500GW_PIERmid,H2 & high PSH & nuclear,#d8a581,dashed,3,10,None,/Users/Guille/Desktop/india_power/scenarios/gridpath-india/alternative
