zone,scenario,label,color,linestyle,linewidth,order,marker,path
all,VREmid_STmid_CONVmid_H2_RES_8PRM_50RPS_90CAP_500GW_ICEDmid,ICED,#92918b,solid,1.5,10,None,/Users/Guille/Desktop/india_power/scenarios/credits
all,VREmid_STmid_CONVmid_H2_RES_8PRM_50RPS_90CAP_500GW_PIERmid,PIER,#136564,dashed,1.5,10,None,/Users/Guille/Desktop/india_power/scenarios/credits
