zone,scenario,label,color,linestyle,marker,tag,path
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_PIERmid,No Clean-Target & C-CAP (PIER),#521A1A,solid,None,C1,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_500GW_PIERmid,No C-CAP (PIER),#92918B,dashed,None,C2,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_80CAP_500GW_PIERmid,80% C-CAP (PIER),#126463,dotted,None,C3,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_90CAP_500GW_PIERmid,90% C-CAP (PIER),#521A1A,solid,None,C4,/Users/Guille/Desktop/india_power/scenarios/policy
all,VREmid_STmid_CONVmid_H2_RES_10PRM_CC_50RPS_100CAP_500GW_PIERmid,100% C-CAP (PIER),#92918B,dashed,None,C5,/Users/Guille/Desktop/india_power/scenarios/policy
