period,new_capacity_mw/yr,technology,scenario
2038.0,25915.655207875006,wind,90% Carbon Target - REF
2039.0,25915.655207875006,wind,90% Carbon Target - REF
2040.0,25915.655207875006,wind,90% Carbon Target - REF
2041.0,31615.420821934444,wind,90% Carbon Target - REF
2042.0,31615.420821934444,wind,90% Carbon Target - REF
2043.0,31615.420821934444,wind,90% Carbon Target - REF
2044.0,31615.420821934444,wind,90% Carbon Target - REF
2045.0,31615.420821934444,wind,90% Carbon Target - REF
2046.0,31615.420821934444,wind,90% Carbon Target - REF
2047.0,31615.420821934444,wind,90% Carbon Target - REF
2048.0,31615.420821934444,wind,90% Carbon Target - REF
2049.0,31615.420821934444,wind,90% Carbon Target - REF
2050.0,31615.420821934444,wind,90% Carbon Target - REF
2009.0,3.88,solar,actual
2010.0,26.39,solar,actual
2011.0,908.92,solar,actual
2012.0,745.1300000000001,solar,actual
2013.0,1135.4699999999998,solar,actual
2014.0,1171.62,solar,actual
2015.0,3130.3600000000006,solar,actual
2016.0,5658.63,solar,actual
2017.0,9563.689999999999,solar,actual
2018.0,6750.970000000001,solar,actual
2019.0,6510.059999999998,solar,actual
2020.0,5628.779999999999,solar,actual
2021.0,12760.520000000004,solar,actual
2022.0,12783.82,solar,actual
2023.0,15033.240000000005,solar,actual
2024.0,23832.89,solar,actual
2009.0,1303.3200000000015,wind,actual
2010.0,2159.09,wind,actual
2011.0,4090.0599999999977,wind,actual
2012.0,1588.390000000003,wind,actual
2013.0,2557.59,wind,actual
2014.0,2311.769999999997,wind,actual
2015.0,3423.050000000003,wind,actual
2016.0,5502.369999999999,wind,actual
2017.0,1865.2299999999996,wind,actual
2018.0,1480.9700000000012,wind,actual
2019.0,2117.779999999999,wind,actual
2020.0,1503.300000000003,wind,actual
2021.0,1110.5299999999988,wind,actual
2022.0,2275.5499999999956,wind,actual
2023.0,3253.3800000000047,wind,actual
2024.0,4151.309999999998,wind,actual
