scenario,load_zone,timepoint,subplot,label
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050116,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050117,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050118,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050119,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050120,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050121,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050122,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050123,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030050124,2,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060101,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060102,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060103,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060104,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060105,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060106,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060107,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060108,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060109,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060110,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060111,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060112,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060113,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060114,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060115,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060116,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060117,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060118,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060119,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060120,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060121,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060122,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060123,3,VRE & ST (mid)
