,decline_rate_low,decline_rate_mid,decline_rate_high
0,0.030305555555555554,0.019473765432098805,0.00864197530864194
1,0.029793209876543277,0.01921759259259255,0.00864197530864194
2,0.029262345679012446,0.018952160493827308,0.008641975308642056
3,0.02871296296296283,0.018677469135802267,0.00864197530864194
4,0.028145061728395128,0.018393518518518594,0.00864197530864194
5,0.027558641975308645,0.01810030864197535,0.00864197530864194
6,0.026953703703703723,0.017797839506173006,0.008641975308642174
7,0.026330246913580255,0.01748611111111098,0.00864197530864194
8,0.025688271604938348,0.017165123456790086,0.00864197530864194
9,0.025027777777777656,0.016834876543209858,0.00864197530864194
10,0.025222222222222153,0.016932098765432106,0.008641975308642056
11,0.025938271604938265,0.017290123456790103,0.00864197530864194
12,0.026135802469135872,0.017388888888888964,0.00864197530864194
13,0.025814814814814863,0.01722839506172846,0.00864197530864194
14,0.024975308641975114,0.01680864197530847,0.008641975308642056
15,0.02361728395061745,0.016129629629629695,0.00864197530864194
16,0.02174074074074058,0.015191358024691319,0.00864197530864194
17,0.01934567901234591,0.013993827160493926,0.008641975308642056
18,0.016432098765431922,0.01253703703703693,0.00864197530864194
19,0.013000000000000012,0.010820987654321034,0.008641975308642056
20,0.011074074074074063,0.009858024691358002,0.00864197530864194
21,0.010851851851851915,0.009746913580246926,0.00864197530864194
22,0.010407407407407442,0.009524691358024778,0.008641975308642056
23,0.009740740740740704,0.009191358024691206,0.008641975308641824
24,0.008851851851851817,0.008746913580246908,0.008641975308642056
25,0.007740740740740725,0.00819135802469142,0.00864197530864194
26,0.006407407407407425,0.007524691358024624,0.00864197530864194
27,0.004851851851851859,0.006746913580246987,0.008641975308642056
28,0.0030740740740740867,0.005858024691358043,0.00864197530864194
29,0.0010740740740741658,0.004858024691358141,0.008641975308642056
